"REGION","EMISSION","YEAR","Val"
"ATX","CO2","2015",999999999
"ATX","CO2","2016",999999999
"ATX","CO2","2017",999999999
"ATX","CO2","2018",999999999
"ATX","CO2","2019",999999999
"ATX","CO2","2020",999999999
"ATX","CO2","2021",999999999
"ATX","CO2","2022",999999999
"ATX","CO2","2023",999999999
"ATX","CO2","2024",999999999
"ATX","CO2","2025",999999999
"ATX","CO2","2026",999999999
"ATX","CO2","2027",999999999
"ATX","CO2","2028",999999999
"ATX","CO2","2029",999999999
"ATX","CO2","2030",999999999
"ATX","CO2","2031",999999999
"ATX","CO2","2032",999999999
"ATX","CO2","2033",999999999
"ATX","CO2","2034",999999999
"ATX","CO2","2035",999999999
"ATX","CO2","2036",999999999
"ATX","CO2","2037",999999999
"ATX","CO2","2038",999999999
"ATX","CO2","2039",999999999
"ATX","CO2","2040",999999999
"ATX","CO2","2041",999999999
"ATX","CO2","2042",999999999
"ATX","CO2","2043",999999999
"ATX","CO2","2044",999999999
"ATX","CO2","2045",999999999
"ATX","CO2","2046",999999999
"ATX","CO2","2047",999999999
"ATX","CO2","2048",999999999
"ATX","CO2","2049",999999999
"ATX","CO2","2050",999999999
