"YEAR","Val"
"2015",6.495
"2016",5.62467
"2017",4.87096422
"2018",4.21825501452
"2019",3.65300884257432
"2020",3.16350565766936
"2021",2.73959589954167
"2022",2.37249004900308
"2023",2.05457638243667
"2024",1.77926314719016
"2025",1.54084188546668
"2026",1.33436907281414
"2027",1.15556361705705
"2028",1.0007180923714
"2029",0.866621867993634
"2030",0.750494537682487
"2031",0.649928269633034
"2032",0.562837881502207
"2033",0.487417605380911
"2034",0.422103646259869
"2035",0.365541757661047
"2036",0.316559162134466
"2037",0.274140234408448
"2038",0.237405442997716
"2039",0.205593113636022
"2040",0.178043636408795
"2041",0.154185789130017
"2042",0.133524893386594
"2043",0.115632557672791
"2044",0.100137794944637
"2045",0.1
"2046",0.1
"2047",0.1
"2048",0.1
"2049",0.1
"2050",0.1
