"REGION","TECHNOLOGY","TIMESLICE","YEAR","Val"
"ATX","COALPP","W1","2015",1
"ATX","COALPP","W1","2016",1
"ATX","COALPP","W1","2017",1
"ATX","COALPP","W1","2018",1
"ATX","COALPP","W1","2019",1
"ATX","COALPP","W1","2020",1
"ATX","COALPP","W1","2021",1
"ATX","COALPP","W1","2022",1
"ATX","COALPP","W1","2023",1
"ATX","COALPP","W1","2024",1
"ATX","COALPP","W1","2025",1
"ATX","COALPP","W1","2026",1
"ATX","COALPP","W1","2027",1
"ATX","COALPP","W1","2028",1
"ATX","COALPP","W1","2029",1
"ATX","COALPP","W1","2030",1
"ATX","COALPP","W1","2031",1
"ATX","COALPP","W1","2032",1
"ATX","COALPP","W1","2033",1
"ATX","COALPP","W1","2034",1
"ATX","COALPP","W1","2035",1
"ATX","COALPP","W1","2036",1
"ATX","COALPP","W1","2037",1
"ATX","COALPP","W1","2038",1
"ATX","COALPP","W1","2039",1
"ATX","COALPP","W1","2040",1
"ATX","COALPP","W1","2041",1
"ATX","COALPP","W1","2042",1
"ATX","COALPP","W1","2043",1
"ATX","COALPP","W1","2044",1
"ATX","COALPP","W1","2045",1
"ATX","COALPP","W1","2046",1
"ATX","COALPP","W1","2047",1
"ATX","COALPP","W1","2048",1
"ATX","COALPP","W1","2049",1
"ATX","COALPP","W1","2050",1
"ATX","COALPP","W2","2015",1
"ATX","COALPP","W2","2016",1
"ATX","COALPP","W2","2017",1
"ATX","COALPP","W2","2018",1
"ATX","COALPP","W2","2019",1
"ATX","COALPP","W2","2020",1
"ATX","COALPP","W2","2021",1
"ATX","COALPP","W2","2022",1
"ATX","COALPP","W2","2023",1
"ATX","COALPP","W2","2024",1
"ATX","COALPP","W2","2025",1
"ATX","COALPP","W2","2026",1
"ATX","COALPP","W2","2027",1
"ATX","COALPP","W2","2028",1
"ATX","COALPP","W2","2029",1
"ATX","COALPP","W2","2030",1
"ATX","COALPP","W2","2031",1
"ATX","COALPP","W2","2032",1
"ATX","COALPP","W2","2033",1
"ATX","COALPP","W2","2034",1
"ATX","COALPP","W2","2035",1
"ATX","COALPP","W2","2036",1
"ATX","COALPP","W2","2037",1
"ATX","COALPP","W2","2038",1
"ATX","COALPP","W2","2039",1
