"REGION","TECHNOLOGY","Val"
"ATX","COALPP",31.536
"ATX","CCPP",31.536
"ATX","CTPP",31.536
"ATX","NUCPP",31.536
"ATX","HYDROPP",31.536
"ATX","WINDPP",31.536
"ATX","SOLPP",31.536
"ATX","BIOPP",31.536
"ATX","CCCCSPP",31.536
"ATX","IGCCCCSPP",31.536
"ATX","H2FUELCELL",31.536
"ATX","BATTERY",31.536
"ATX","EV_CHARGE",31.536
"ATX","V2G",31.536
"ATX","EV_DISCHARGE",31.536
"ATX","EV_CHARGE_F",31.536
"ATX","V2G_F",31.536
"ATX","EV_DISCHARGE_F",31.536
"ATX","BUYCOAL",1
"ATX","BUYURN",1
"ATX","BUYBIO",1
"ATX","BUYGAS",1
"ATX","BUYPET",1
"ATX","BUYDSL",1
"ATX","BUYBIO_DSL",1
"ATX","SOLPOT",1
"ATX","WINDPOT",1
"ATX","HYDROPOT",1
"ATX","ICE_PET",300
"ATX","ICE_DSL",300
"ATX","PHEV",300
"ATX","HYBRID",300
"ATX","H2V",300
"ATX","EV",300
"ATX","ICE_PET_F",300
"ATX","ICE_DSL_F",300
"ATX","PHEV_F",300
"ATX","HYBRID_F",300
"ATX","H2V_F",300
"ATX","EV_F",300
"ATX","ICE_PET_PUB",60000
"ATX","ICE_DSL_PUB",60000
"ATX","CNG_PUB",60000
"ATX","EV_PUB",60000
"ATX","PHEV_PUB",60000
"ATX","HYBRID_PUB",60000
"ATX","BIO_DSL_PUB",60000
"ATX","ELCTROL",1
"ATX","GASREF",1
"ATX","BIOGAS",1
"ATX","COALGAS",1
