"REGION","TECHNOLOGY","YEAR","Val"
"ATX","COALPP","2015",3559.411
"ATX","COALPP","2016",3559.411
"ATX","COALPP","2017",3527.195
"ATX","COALPP","2018",3521.692
"ATX","COALPP","2019",3513.332
"ATX","COALPP","2020",3509.361
"ATX","COALPP","2021",3504.5
"ATX","COALPP","2022",3508.889
"ATX","COALPP","2023",3500.413
"ATX","COALPP","2024",3496.165
"ATX","COALPP","2025",3499.986
"ATX","COALPP","2026",3485.754
"ATX","COALPP","2027",3469.517
"ATX","COALPP","2028",3456.042
"ATX","COALPP","2029",3448.081
"ATX","COALPP","2030",3438.518
"ATX","COALPP","2031",3428.361
"ATX","COALPP","2032",3415.323
"ATX","COALPP","2033",3404.445
"ATX","COALPP","2034",3399.069
"ATX","COALPP","2035",3389.959
"ATX","COALPP","2036",3379.142
"ATX","COALPP","2037",3366.72
"ATX","COALPP","2038",3360.839
"ATX","COALPP","2039",3353.715
"ATX","COALPP","2040",3342.171
"ATX","COALPP","2041",3332.432
"ATX","COALPP","2042",3325.028
"ATX","COALPP","2043",3317.846
"ATX","COALPP","2044",3309.964
"ATX","COALPP","2045",3301.119
"ATX","COALPP","2046",3293.411
"ATX","COALPP","2047",3284.579
"ATX","COALPP","2048",3273.45
"ATX","COALPP","2049",3265.691
"ATX","COALPP","2050",3237.378
"ATX","CCPP","2015",1010.284
"ATX","CCPP","2016",1010.284
"ATX","CCPP","2017",1003.702
"ATX","CCPP","2018",1004.709
"ATX","CCPP","2019",1004.907
"ATX","CCPP","2020",1003.228
"ATX","CCPP","2021",1001.323
"ATX","CCPP","2022",1002.166
"ATX","CCPP","2023",999.333
"ATX","CCPP","2024",997.706
"ATX","CCPP","2025",997.262
"ATX","CCPP","2026",990.35
"ATX","CCPP","2027",983.683
"ATX","CCPP","2028",974.781
"ATX","CCPP","2029",969.129
"ATX","CCPP","2030",962.767
"ATX","CCPP","2031",958.089
"ATX","CCPP","2032",952.834
"ATX","CCPP","2033",947.871
"ATX","CCPP","2034",944.468
"ATX","CCPP","2035",941.16
"ATX","CCPP","2036",936.779
"ATX","CCPP","2037",931.832
"ATX","CCPP","2038",929.346
"ATX","CCPP","2039",926.012
"ATX","CCPP","2040",922.093
"ATX","CCPP","2041",918.512
"ATX","CCPP","2042",915.971
"ATX","CCPP","2043",913.321
"ATX","CCPP","2044",910.56
"ATX","CCPP","2045",908.318
"ATX","CCPP","2046",906.503
"ATX","CCPP","2047",904.379
"ATX","CCPP","2048",901.622
"ATX","CCPP","2049",899.794
"ATX","CCPP","2050",892.3
"ATX","CTPP","2015",863.859
"ATX","CTPP","2016",863.859
"ATX","CTPP","2017",859.766
"ATX","CTPP","2018",862.167
"ATX","CTPP","2019",858.893
"ATX","CTPP","2020",857.389
"ATX","CTPP","2021",855.674
"ATX","CTPP","2022",856.324
"ATX","CTPP","2023",853.834
"ATX","CTPP","2024",852.374
"ATX","CTPP","2025",851.735
"ATX","CTPP","2026",845.346
"ATX","CTPP","2027",839.306
"ATX","CTPP","2028",830.843
"ATX","CTPP","2029",825.442
"ATX","CTPP","2030",819.391
"ATX","CTPP","2031",815.092
"ATX","CTPP","2032",810.342
"ATX","CTPP","2033",805.787
"ATX","CTPP","2034",802.563
"ATX","CTPP","2035",799.617
"ATX","CTPP","2036",795.655
"ATX","CTPP","2037",791.191
"ATX","CTPP","2038",788.93
"ATX","CTPP","2039",785.861
"ATX","CTPP","2040",782.407
"ATX","CTPP","2041",779.211
"ATX","CTPP","2042",776.968
"ATX","CTPP","2043",774.602
"ATX","CTPP","2044",772.157
"ATX","CTPP","2045",770.289
"ATX","CTPP","2046",768.804
"ATX","CTPP","2047",767.056
"ATX","CTPP","2048",764.772
"ATX","CTPP","2049",763.275
"ATX","CTPP","2050",756.973
"ATX","NUCPP","2015",5514.824
"ATX","NUCPP","2016",5477.081
"ATX","NUCPP","2017",5406.262
"ATX","NUCPP","2018",5376.487
"ATX","NUCPP","2019",5342.306
"ATX","NUCPP","2020",5314.746
"ATX","NUCPP","2021",5293.103
"ATX","NUCPP","2022",5291.28
"ATX","NUCPP","2023",5263.831
"ATX","NUCPP","2024",5242.718
"ATX","NUCPP","2025",5233.631
"ATX","NUCPP","2026",5197.518
"ATX","NUCPP","2027",5158.468
"ATX","NUCPP","2028",5123.577
"ATX","NUCPP","2029",5096.874
"ATX","NUCPP","2030",5067.803
"ATX","NUCPP","2031",5037.864
"ATX","NUCPP","2032",5003.716
"ATX","NUCPP","2033",4972.76
"ATX","NUCPP","2034",4949.832
"ATX","NUCPP","2035",4921.453
"ATX","NUCPP","2036",4890.606
"ATX","NUCPP","2037",4857.459
"ATX","NUCPP","2038",4833.753
"ATX","NUCPP","2039",4808.236
"ATX","NUCPP","2040",4776.387
"ATX","NUCPP","2041",4747.133
"ATX","NUCPP","2042",4721.203
"ATX","NUCPP","2043",4695.575
"ATX","NUCPP","2044",4668.942
"ATX","NUCPP","2045",4640.945
"ATX","NUCPP","2046",4614.541
"ATX","NUCPP","2047",4586.555
"ATX","NUCPP","2048",4555.374
"ATX","NUCPP","2049",4528.887
"ATX","NUCPP","2050",4473.984
"ATX","HYDROPP","2015",4045.377
"ATX","HYDROPP","2016",4045.377
"ATX","HYDROPP","2017",4045.377
"ATX","HYDROPP","2018",4045.377
"ATX","HYDROPP","2019",4045.377
"ATX","HYDROPP","2020",4045.377
"ATX","HYDROPP","2021",4045.377
"ATX","HYDROPP","2022",4045.377
"ATX","HYDROPP","2023",4045.377
"ATX","HYDROPP","2024",4045.377
"ATX","HYDROPP","2025",4045.377
"ATX","HYDROPP","2026",4045.377
"ATX","HYDROPP","2027",4045.377
"ATX","HYDROPP","2028",4045.377
"ATX","HYDROPP","2029",4045.377
"ATX","HYDROPP","2030",4045.377
"ATX","HYDROPP","2031",4045.377
"ATX","HYDROPP","2032",4045.377
"ATX","HYDROPP","2033",4045.377
"ATX","HYDROPP","2034",4045.377
"ATX","HYDROPP","2035",4045.377
"ATX","HYDROPP","2036",4045.377
"ATX","HYDROPP","2037",4045.377
"ATX","HYDROPP","2038",4045.377
"ATX","HYDROPP","2039",4045.377
"ATX","HYDROPP","2040",4045.377
"ATX","HYDROPP","2041",4045.377
"ATX","HYDROPP","2042",4045.377
"ATX","HYDROPP","2043",4045.377
"ATX","HYDROPP","2044",4045.377
"ATX","HYDROPP","2045",4045.377
"ATX","HYDROPP","2046",4045.377
"ATX","HYDROPP","2047",4045.377
"ATX","HYDROPP","2048",4045.377
"ATX","HYDROPP","2049",4045.377
"ATX","HYDROPP","2050",4045.377
"ATX","WINDPP","2015",1607.789
"ATX","WINDPP","2016",1566.569
"ATX","WINDPP","2017",1562.972
