"YEAR","STORAGE","REGION","Val"
"2015","BAT","ATX",235681.25222
"2016","BAT","ATX",207399.5019536
"2017","BAT","ATX",182511.561719168
"2018","BAT","ATX",160610.174312868
"2019","BAT","ATX",141336.953395324
"2020","BAT","ATX",124376.518987885
"2021","BAT","ATX",109451.336709339
"2022","BAT","ATX",96317.176304218
"2023","BAT","ATX",84759.1151477119
"2024","BAT","ATX",74588.0213299864
"2025","BAT","ATX",65637.4587703881
"2026","BAT","ATX",57760.9637179415
"2027","BAT","ATX",50829.6480717885
"2028","BAT","ATX",44730.0903031739
"2029","BAT","ATX",39362.479466793
"2030","BAT","ATX",34638.9819307779
"2031","BAT","ATX",30482.3040990845
"2032","BAT","ATX",26824.4276071944
"2033","BAT","ATX",23605.4962943311
"2034","BAT","ATX",20772.8367390113
"2035","BAT","ATX",18280.09633033
"2036","BAT","ATX",16086.4847706904
"2037","BAT","ATX",14156.1065982075
"2038","BAT","ATX",12457.3738064226
"2039","BAT","ATX",10962.4889496519
"2040","BAT","ATX",9646.99027569368
"2041","BAT","ATX",8489.35144261044
"2042","BAT","ATX",7470.62926949719
"2043","BAT","ATX",6574.15375715752
"2044","BAT","ATX",5785.25530629862
"2045","BAT","ATX",5091.02466954279
"2046","BAT","ATX",4480.10170919765
"2047","BAT","ATX",3942.48950409393
"2048","BAT","ATX",3469.39076360266
"2049","BAT","ATX",3053.06387197034
"2050","BAT","ATX",2686.6962073339
