"TIMESLICE","Val"
"W1",89
"W2",89
"W3",89
"W4",89
"W5",89
"W6",89
"W7",89
"W8",89
"W9",89
"W10",89
"W11",89
"W12",89
"W13",89
"W14",89
"W15",89
"W16",89
"W17",89
"W18",89
"W19",89
"W20",89
"W21",89
"W22",89
"W23",89
"W24",89
"SF1",183
"SF2",183
"SF3",183
"SF4",183
"SF5",183
"SF6",183
"SF7",183
"SF8",183
"SF9",183
"SF10",183
"SF11",183
"SF12",183
"SF13",183
"SF14",183
"SF15",183
"SF16",183
"SF17",183
"SF18",183
"SF19",183
"SF20",183
"SF21",183
"SF22",183
"SF23",183
"SF24",183
"S1",93
"S2",93
"S3",93
"S4",93
"S5",93
"S6",93
"S7",93
"S8",93
"S9",93
"S10",93
"S11",93
"S12",93
"S13",93
"S14",93
"S15",93
"S16",93
"S17",93
"S18",93
"S19",93
"S20",93
"S21",93
"S22",93
"S23",93
"S24",93
