"YEAR","DR_TYPE","FUEL","TIMESLICE","REGION","Val"
"2015","LO","ELC","W1","ATX",0.0658599999999947
"2015","LO","ELC","W2","ATX",0.0658599999999947
"2015","LO","ELC","W3","ATX",0.0658599999999947
"2015","LO","ELC","W4","ATX",0.0658599999999947
"2015","LO","ELC","W5","ATX",0.0658599999999947
"2015","LO","ELC","W6","ATX",0.0658599999999947
"2015","LO","ELC","W7","ATX",0.0658599999999947
"2015","LO","ELC","W8","ATX",0.0658599999999947
"2015","LO","ELC","W9","ATX",0.0658599999999947
"2015","LO","ELC","W10","ATX",0.0658599999999947
"2015","LO","ELC","W11","ATX",0.0658599999999947
"2015","LO","ELC","W12","ATX",0.0658599999999947
"2015","LO","ELC","W13","ATX",0.0658599999999947
"2015","LO","ELC","W14","ATX",0.0658599999999947
"2015","LO","ELC","W15","ATX",0.0658599999999947
"2015","LO","ELC","W16","ATX",0.0658599999999947
"2015","LO","ELC","W17","ATX",0.0658599999999947
"2015","LO","ELC","W18","ATX",0.0658599999999947
"2015","LO","ELC","W19","ATX",0.0658599999999947
"2015","LO","ELC","W20","ATX",0.0658599999999947
"2015","LO","ELC","W21","ATX",0.0658599999999947
"2015","LO","ELC","W22","ATX",0.0658599999999947
"2015","LO","ELC","W23","ATX",0.0658599999999947
"2015","LO","ELC","W24","ATX",0.0658599999999947
"2015","LO","ELC","SF1","ATX",0.135419999999989
"2015","LO","ELC","SF2","ATX",0.135419999999989
"2015","LO","ELC","SF3","ATX",0.135419999999989
"2015","LO","ELC","SF4","ATX",0.135419999999989
"2015","LO","ELC","SF5","ATX",0.135419999999989
"2015","LO","ELC","SF6","ATX",0.135419999999989
"2015","LO","ELC","SF7","ATX",0.135419999999989
"2015","LO","ELC","SF8","ATX",0.135419999999989
"2015","LO","ELC","SF9","ATX",0.135419999999989
"2015","LO","ELC","SF10","ATX",0.135419999999989
"2015","LO","ELC","SF11","ATX",0.135419999999989
"2015","LO","ELC","SF12","ATX",0.135419999999989
"2015","LO","ELC","SF13","ATX",0.135419999999989
"2015","LO","ELC","SF14","ATX",0.135419999999989
"2015","LO","ELC","SF15","ATX",0.135419999999989
"2015","LO","ELC","SF16","ATX",0.135419999999989
"2015","LO","ELC","SF17","ATX",0.135419999999989
"2015","LO","ELC","SF18","ATX",0.135419999999989
"2015","LO","ELC","SF19","ATX",0.135419999999989
"2015","LO","ELC","SF20","ATX",0.135419999999989
"2015","LO","ELC","SF21","ATX",0.135419999999989
"2015","LO","ELC","SF22","ATX",0.135419999999989
"2015","LO","ELC","SF23","ATX",0.135419999999989
"2015","LO","ELC","SF24","ATX",0.135419999999989
"2015","LO","ELC","S1","ATX",0.0688199999999945
"2015","LO","ELC","S2","ATX",0.0688199999999945
"2015","LO","ELC","S3","ATX",0.0688199999999945
"2015","LO","ELC","S4","ATX",0.0688199999999945
"2015","LO","ELC","S5","ATX",0.0688199999999945
"2015","LO","ELC","S6","ATX",0.0688199999999945
"2015","LO","ELC","S7","ATX",0.0688199999999945
"2015","LO","ELC","S8","ATX",0.0688199999999945
"2015","LO","ELC","S9","ATX",0.0688199999999945
"2015","LO","ELC","S10","ATX",0.0688199999999945
"2015","LO","ELC","S11","ATX",0.0688199999999945
"2015","LO","ELC","S12","ATX",0.0688199999999945
"2015","LO","ELC","S13","ATX",0.0688199999999945
"2015","LO","ELC","S14","ATX",0.0688199999999945
"2015","LO","ELC","S15","ATX",0.0688199999999945
"2015","LO","ELC","S16","ATX",0.0688199999999945
"2015","LO","ELC","S17","ATX",0.0688199999999945
"2015","LO","ELC","S18","ATX",0.0688199999999945
"2015","LO","ELC","S19","ATX",0.0688199999999945
"2015","LO","ELC","S20","ATX",0.0688199999999945
"2015","LO","ELC","S21","ATX",0.0688199999999945
"2015","LO","ELC","S22","ATX",0.0688199999999945
"2015","LO","ELC","S23","ATX",0.0688199999999945
"2015","LO","ELC","S24","ATX",0.0688199999999945
"2015","MED","ELC","W1","ATX",0.0658599999999947
"2015","MED","ELC","W2","ATX",0.0658599999999947
