"YEAR","DR_TYPE","FUEL","REGION","Val"
"2015","LO","ELC","ATX",83.3334
"2015","MED","ELC","ATX",138.889
"2015","HI","ELC","ATX",277.778
"2016","LO","ELC","ATX",83.3334
"2016","MED","ELC","ATX",138.889
"2016","HI","ELC","ATX",277.778
"2017","LO","ELC","ATX",83.3334
"2017","MED","ELC","ATX",138.889
"2017","HI","ELC","ATX",277.778
"2018","LO","ELC","ATX",83.3334
"2018","MED","ELC","ATX",138.889
"2018","HI","ELC","ATX",277.778
"2019","LO","ELC","ATX",83.3334
"2019","MED","ELC","ATX",138.889
"2019","HI","ELC","ATX",277.778
"2020","LO","ELC","ATX",83.3334
"2020","MED","ELC","ATX",138.889
"2020","HI","ELC","ATX",277.778
"2021","LO","ELC","ATX",83.3334
"2021","MED","ELC","ATX",138.889
"2021","HI","ELC","ATX",277.778
"2022","LO","ELC","ATX",83.3334
"2022","MED","ELC","ATX",138.889
"2022","HI","ELC","ATX",277.778
"2023","LO","ELC","ATX",83.3334
"2023","MED","ELC","ATX",138.889
"2023","HI","ELC","ATX",277.778
"2024","LO","ELC","ATX",83.3334
"2024","MED","ELC","ATX",138.889
"2024","HI","ELC","ATX",277.778
"2025","LO","ELC","ATX",83.3334
"2025","MED","ELC","ATX",138.889
"2025","HI","ELC","ATX",277.778
"2026","LO","ELC","ATX",83.3334
"2026","MED","ELC","ATX",138.889
"2026","HI","ELC","ATX",277.778
"2027","LO","ELC","ATX",83.3334
"2027","MED","ELC","ATX",138.889
"2027","HI","ELC","ATX",277.778
"2028","LO","ELC","ATX",83.3334
"2028","MED","ELC","ATX",138.889
"2028","HI","ELC","ATX",277.778
"2029","LO","ELC","ATX",83.3334
"2029","MED","ELC","ATX",138.889
"2029","HI","ELC","ATX",277.778
"2030","LO","ELC","ATX",83.3334
"2030","MED","ELC","ATX",138.889
"2030","HI","ELC","ATX",277.778
"2031","LO","ELC","ATX",83.3334
"2031","MED","ELC","ATX",138.889
"2031","HI","ELC","ATX",277.778
"2032","LO","ELC","ATX",83.3334
"2032","MED","ELC","ATX",138.889
"2032","HI","ELC","ATX",277.778
"2033","LO","ELC","ATX",83.3334
"2033","MED","ELC","ATX",138.889
"2033","HI","ELC","ATX",277.778
"2034","LO","ELC","ATX",83.3334
"2034","MED","ELC","ATX",138.889
"2034","HI","ELC","ATX",277.778
"2035","LO","ELC","ATX",83.3334
"2035","MED","ELC","ATX",138.889
"2035","HI","ELC","ATX",277.778
"2036","LO","ELC","ATX",83.3334
"2036","MED","ELC","ATX",138.889
"2036","HI","ELC","ATX",277.778
"2037","LO","ELC","ATX",83.3334
"2037","MED","ELC","ATX",138.889
"2037","HI","ELC","ATX",277.778
"2038","LO","ELC","ATX",83.3334
"2038","MED","ELC","ATX",138.889
"2038","HI","ELC","ATX",277.778
"2039","LO","ELC","ATX",83.3334
"2039","MED","ELC","ATX",138.889
"2039","HI","ELC","ATX",277.778
"2040","LO","ELC","ATX",83.3334
"2040","MED","ELC","ATX",138.889
"2040","HI","ELC","ATX",277.778
"2041","LO","ELC","ATX",83.3334
"2041","MED","ELC","ATX",138.889
"2041","HI","ELC","ATX",277.778
"2042","LO","ELC","ATX",83.3334
"2042","MED","ELC","ATX",138.889
"2042","HI","ELC","ATX",277.778
"2043","LO","ELC","ATX",83.3334
"2043","MED","ELC","ATX",138.889
"2043","HI","ELC","ATX",277.778
"2044","LO","ELC","ATX",83.3334
"2044","MED","ELC","ATX",138.889
"2044","HI","ELC","ATX",277.778
"2045","LO","ELC","ATX",83.3334
"2045","MED","ELC","ATX",138.889
"2045","HI","ELC","ATX",277.778
"2046","LO","ELC","ATX",83.3334
"2046","MED","ELC","ATX",138.889
"2046","HI","ELC","ATX",277.778
"2047","LO","ELC","ATX",83.3334
"2047","MED","ELC","ATX",138.889
"2047","HI","ELC","ATX",277.778
"2048","LO","ELC","ATX",83.3334
"2048","MED","ELC","ATX",138.889
"2048","HI","ELC","ATX",277.778
"2049","LO","ELC","ATX",83.3334
"2049","MED","ELC","ATX",138.889
"2049","HI","ELC","ATX",277.778
"2050","LO","ELC","ATX",83.3334
"2050","MED","ELC","ATX",138.889
"2050","HI","ELC","ATX",277.778
