"REGION","TECHNOLOGY","Val"
"ATX","COALPP",0.05
"ATX","CCPP",0.05
"ATX","CTPP",0.05
"ATX","NUCPP",0.05
"ATX","HYDROPP",0.05
"ATX","WINDPP",0.05
"ATX","SOLPP",0.05
"ATX","BIOPP",0.05
"ATX","CCCCSPP",0.05
"ATX","IGCCCCSPP",0.05
"ATX","H2FUELCELL",0.05
"ATX","BATTERY",0.05
"ATX","EV_CHARGE",0.05
"ATX","V2G",0.05
"ATX","EV_DISCHARGE",0.05
"ATX","EV_CHARGE_F",0.05
"ATX","V2G_F",0.05
"ATX","EV_DISCHARGE_F",0.05
"ATX","BUYCOAL",0.05
"ATX","BUYURN",0.05
"ATX","BUYBIO",0.05
"ATX","BUYGAS",0.05
"ATX","BUYPET",0.05
"ATX","BUYDSL",0.05
"ATX","BUYBIO_DSL",0.05
"ATX","SOLPOT",0.05
"ATX","WINDPOT",0.05
"ATX","HYDROPOT",0.05
"ATX","ICE_PET",0.05
"ATX","ICE_DSL",0.05
"ATX","PHEV",0.05
"ATX","HYBRID",0.05
"ATX","H2V",0.05
"ATX","EV",0.05
"ATX","ICE_PET_F",0.05
"ATX","ICE_DSL_F",0.05
"ATX","PHEV_F",0.05
"ATX","HYBRID_F",0.05
"ATX","H2V_F",0.05
"ATX","EV_F",0.05
"ATX","ICE_PET_PUB",0.05
"ATX","ICE_DSL_PUB",0.05
"ATX","CNG_PUB",0.05
"ATX","EV_PUB",0.05
"ATX","PHEV_PUB",0.05
"ATX","HYBRID_PUB",0.05
"ATX","BIO_DSL_PUB",0.05
"ATX","ELCTROL",0.05
"ATX","GASREF",0.05
"ATX","BIOGAS",0.05
"ATX","COALGAS",0.05
