"REGION","TECHNOLOGY","EMISSION","MODE_OF_OPERATION","YEAR","Val"
"ATX","COALPP","CO2","1","2015",0.211113
"ATX","COALPP","CO2","1","2016",0.211113
"ATX","COALPP","CO2","1","2017",0.211113
"ATX","COALPP","CO2","1","2018",0.211113
"ATX","COALPP","CO2","1","2019",0.211113
"ATX","COALPP","CO2","1","2020",0.211113
"ATX","COALPP","CO2","1","2021",0.211113
"ATX","COALPP","CO2","1","2022",0.211113
"ATX","COALPP","CO2","1","2023",0.211113
"ATX","COALPP","CO2","1","2024",0.211113
"ATX","COALPP","CO2","1","2025",0.211113
"ATX","COALPP","CO2","1","2026",0.211113
"ATX","COALPP","CO2","1","2027",0.211113
"ATX","COALPP","CO2","1","2028",0.211113
"ATX","COALPP","CO2","1","2029",0.211113
"ATX","COALPP","CO2","1","2030",0.211113
"ATX","COALPP","CO2","1","2031",0.211113
"ATX","COALPP","CO2","1","2032",0.211113
"ATX","COALPP","CO2","1","2033",0.211113
"ATX","COALPP","CO2","1","2034",0.211113
"ATX","COALPP","CO2","1","2035",0.211113
"ATX","COALPP","CO2","1","2036",0.211113
"ATX","COALPP","CO2","1","2037",0.211113
"ATX","COALPP","CO2","1","2038",0.211113
"ATX","COALPP","CO2","1","2039",0.211113
"ATX","COALPP","CO2","1","2040",0.211113
"ATX","COALPP","CO2","1","2041",0.211113
"ATX","COALPP","CO2","1","2042",0.211113
"ATX","COALPP","CO2","1","2043",0.211113
"ATX","COALPP","CO2","1","2044",0.211113
"ATX","COALPP","CO2","1","2045",0.211113
"ATX","COALPP","CO2","1","2046",0.211113
"ATX","COALPP","CO2","1","2047",0.211113
"ATX","COALPP","CO2","1","2048",0.211113
"ATX","COALPP","CO2","1","2049",0.211113
"ATX","COALPP","CO2","1","2050",0.211113
"ATX","CCPP","CO2","1","2015",0.102779
"ATX","CCPP","CO2","1","2016",0.102779
"ATX","CCPP","CO2","1","2017",0.102779
"ATX","CCPP","CO2","1","2018",0.102779
"ATX","CCPP","CO2","1","2019",0.102779
"ATX","CCPP","CO2","1","2020",0.102779
"ATX","CCPP","CO2","1","2021",0.102779
"ATX","CCPP","CO2","1","2022",0.102779
"ATX","CCPP","CO2","1","2023",0.102779
"ATX","CCPP","CO2","1","2024",0.102779
"ATX","CCPP","CO2","1","2025",0.102779
"ATX","CCPP","CO2","1","2026",0.102779
"ATX","CCPP","CO2","1","2027",0.102779
"ATX","CCPP","CO2","1","2028",0.102779
"ATX","CCPP","CO2","1","2029",0.102779
"ATX","CCPP","CO2","1","2030",0.102779
"ATX","CCPP","CO2","1","2031",0.102779
"ATX","CCPP","CO2","1","2032",0.102779
"ATX","CCPP","CO2","1","2033",0.102779
"ATX","CCPP","CO2","1","2034",0.102779
"ATX","CCPP","CO2","1","2035",0.102779
"ATX","CCPP","CO2","1","2036",0.102779
"ATX","CCPP","CO2","1","2037",0.102779
