"REGION","TECHNOLOGY","YEAR","Val"
"ATX","COALPP","2015",32
"ATX","COALPP","2016",32
"ATX","COALPP","2017",32
"ATX","COALPP","2018",32
"ATX","COALPP","2019",32
"ATX","COALPP","2020",32
"ATX","COALPP","2021",32
"ATX","COALPP","2022",32
"ATX","COALPP","2023",32
"ATX","COALPP","2024",32
"ATX","COALPP","2025",32
"ATX","COALPP","2026",32
"ATX","COALPP","2027",32
"ATX","COALPP","2028",32
"ATX","COALPP","2029",32
"ATX","COALPP","2030",32
"ATX","COALPP","2031",32
"ATX","COALPP","2032",32
"ATX","COALPP","2033",32
"ATX","COALPP","2034",32
"ATX","COALPP","2035",32
"ATX","COALPP","2036",32
"ATX","COALPP","2037",32
"ATX","COALPP","2038",32
"ATX","COALPP","2039",32
"ATX","COALPP","2040",32
"ATX","COALPP","2041",32
"ATX","COALPP","2042",32
"ATX","COALPP","2043",32
"ATX","COALPP","2044",32
"ATX","COALPP","2045",32
"ATX","COALPP","2046",32
"ATX","COALPP","2047",32
"ATX","COALPP","2048",32
"ATX","COALPP","2049",32
"ATX","COALPP","2050",32
"ATX","CCPP","2015",10
"ATX","CCPP","2016",10
"ATX","CCPP","2017",10
"ATX","CCPP","2018",10
"ATX","CCPP","2019",10
"ATX","CCPP","2020",10
"ATX","CCPP","2021",10
"ATX","CCPP","2022",10
"ATX","CCPP","2023",10
"ATX","CCPP","2024",10
"ATX","CCPP","2025",10
"ATX","CCPP","2026",10
"ATX","CCPP","2027",10
"ATX","CCPP","2028",10
"ATX","CCPP","2029",10
"ATX","CCPP","2030",10
"ATX","CCPP","2031",10
"ATX","CCPP","2032",10
"ATX","CCPP","2033",10
"ATX","CCPP","2034",10
"ATX","CCPP","2035",10
"ATX","CCPP","2036",10
"ATX","CCPP","2037",10
"ATX","CCPP","2038",10
"ATX","CCPP","2039",10
"ATX","CCPP","2040",10
"ATX","CCPP","2041",10
"ATX","CCPP","2042",10
"ATX","CCPP","2043",10
"ATX","CCPP","2044",10
"ATX","CCPP","2045",10
"ATX","CCPP","2046",10
"ATX","CCPP","2047",10
"ATX","CCPP","2048",10
"ATX","CCPP","2049",10
"ATX","CCPP","2050",10
"ATX","CTPP","2015",12
"ATX","CTPP","2016",12
"ATX","CTPP","2017",12
"ATX","CTPP","2018",12
"ATX","CTPP","2019",12
"ATX","CTPP","2020",12
"ATX","CTPP","2021",12
"ATX","CTPP","2022",12
"ATX","CTPP","2023",12
"ATX","CTPP","2024",12
"ATX","CTPP","2025",12
"ATX","CTPP","2026",12
"ATX","CTPP","2027",12
"ATX","CTPP","2028",12
"ATX","CTPP","2029",12
"ATX","CTPP","2030",12
"ATX","CTPP","2031",12
"ATX","CTPP","2032",12
"ATX","CTPP","2033",12
"ATX","CTPP","2034",12
"ATX","CTPP","2035",12
"ATX","CTPP","2036",12
"ATX","CTPP","2037",12
"ATX","CTPP","2038",12
"ATX","CTPP","2039",12
"ATX","CTPP","2040",12
"ATX","CTPP","2041",12
