"YEAR","REGION","Val"
"2015","ATX",732.336561156048
"2016","ATX",722.830858880586
"2017","ATX",711.149439963921
"2018","ATX",697.206385123252
"2019","ATX",680.986598784733
"2020","ATX",662.562946537175
"2021","ATX",642.10845939168
"2022","ATX",619.900393646201
"2023","ATX",596.313654321193
"2024","ATX",571.802671837915
"2025","ATX",546.873038464976
"2026","ATX",522.046410184165
"2027","ATX",497.823728957869
"2028","ATX",474.652122538503
"2029","ATX",452.899897028649
"2030","ATX",432.842069518638
"2031","ATX",414.656740647288
"2032","ATX",398.430713818274
"2033","ATX",384.171684043529
"2034","ATX",371.824029559944
"2035","ATX",361.285545377802
"2036","ATX",352.423183253107
"2037","ATX",345.086580201494
"2038","ATX",339.118874526229
"2039","ATX",334.364763882388
"2040","ATX",330.676075161286
"2041","ATX",327.915278620441
"2042","ATX",325.957382538414
"2043","ATX",324.690653923638
"2044","ATX",324.016508288355
"2045","ATX",323.848875270698
"2046","ATX",324.113245140771
"2047","ATX",324.74556114442
"2048","ATX",325.691063285873
"2049","ATX",326.903159088788
"2050","ATX",328.342355251407
