"YEAR","REGION","Val"
"2015","ATX",18.5150104498414
"2016","ATX",21.8632017348482
"2017","ATX",25.6799450985946
"2018","ATX",29.9834109390882
"2019","ATX",34.7768596594622
"2020","ATX",40.0450344645444
"2021","ATX",45.7515917347148
"2022","ATX",51.8382460741638
"2023","ATX",58.2261554187202
"2024","ATX",64.8197360500816
"2025","ATX",71.5126340649567
"2026","ATX",78.1951141638458
"2027","ATX",84.7618031591927
"2028","ATX",91.1186570247552
"2029","ATX",97.1882272912309
"2030","ATX",102.91270528137
"2031","ATX",108.254686852421
"2032","ATX",113.195989176025
"2033","ATX",117.735084000589
"2034","ATX",121.883774252561
"2035","ATX",125.663669999512
"2036","ATX",129.102876037506
"2037","ATX",132.233142452245
"2038","ATX",135.087588469287
"2039","ATX",137.69900603571
"2040","ATX",140.09868641771
"2041","ATX",142.315681471021
"2042","ATX",144.376403760094
"2043","ATX",146.304475803582
"2044","ATX",148.120752322397
"2045","ATX",149.843454555657
"2046","ATX",151.48837067169
"2047","ATX",153.069088926368
"2048","ATX",154.597241061061
"2049","ATX",156.082740442839
"2050","ATX",157.534006541036
