"REGION","TECHNOLOGY","Val"
"ATX","COALPP",0.1
"ATX","CCPP",0.1
"ATX","CTPP",0.1
"ATX","NUCPP",0.1
"ATX","HYDROPP",0.1
"ATX","WINDPP",0.25
"ATX","SOLPP",0.25
"ATX","BIOPP",0.1
"ATX","CCCCSPP",0.1
"ATX","IGCCCCSPP",0.1
"ATX","H2FUELCELL",0.1
"ATX","BATTERY",0.25
"ATX","EV_CHARGE",0.25
"ATX","V2G",0.25
"ATX","EV_DISCHARGE",1
"ATX","EV_CHARGE_F",0.25
"ATX","V2G_F",0.25
"ATX","EV_DISCHARGE_F",1
"ATX","BUYCOAL",9999
"ATX","BUYURN",9999
"ATX","BUYBIO",9999
"ATX","BUYGAS",9999
"ATX","BUYPET",9999
"ATX","BUYDSL",9999
"ATX","BUYBIO_DSL",9999
"ATX","SOLPOT",9999
"ATX","WINDPOT",9999
"ATX","HYDROPOT",9999
"ATX","ICE_PET",0.25
"ATX","ICE_DSL",0.25
"ATX","PHEV",0.25
"ATX","HYBRID",0.25
"ATX","H2V",0.25
"ATX","EV",0.25
"ATX","ICE_PET_F",0.5
"ATX","ICE_DSL_F",0.5
"ATX","PHEV_F",0.5
"ATX","HYBRID_F",0.5
"ATX","H2V_F",0.5
"ATX","EV_F",0.5
"ATX","ICE_PET_PUB",0.5
"ATX","ICE_DSL_PUB",0.5
"ATX","CNG_PUB",0.5
"ATX","EV_PUB",0.5
"ATX","PHEV_PUB",0.5
"ATX","HYBRID_PUB",0.5
"ATX","BIO_DSL_PUB",0.5
"ATX","ELCTROL",0.1
"ATX","GASREF",0.1
"ATX","BIOGAS",0.1
"ATX","COALGAS",0.1
