"REGION","TECHNOLOGY","Val"
"ATX","COALPP",30
"ATX","CCPP",30
"ATX","CTPP",30
"ATX","NUCPP",30
"ATX","HYDROPP",30
"ATX","WINDPP",30
"ATX","SOLPP",30
"ATX","BIOPP",30
"ATX","CCCCSPP",30
"ATX","IGCCCCSPP",30
"ATX","H2FUELCELL",30
"ATX","BATTERY",10
"ATX","EV_CHARGE",10
"ATX","V2G",10
"ATX","EV_DISCHARGE",10
"ATX","EV_CHARGE_F",8
"ATX","V2G_F",8
"ATX","EV_DISCHARGE_F",8
"ATX","BUYCOAL",1
"ATX","BUYURN",1
"ATX","BUYBIO",1
"ATX","BUYGAS",1
"ATX","BUYPET",1
"ATX","BUYDSL",1
"ATX","BUYBIO_DSL",1
"ATX","SOLPOT",1
"ATX","WINDPOT",1
"ATX","HYDROPOT",1
"ATX","ICE_PET",10
"ATX","ICE_DSL",10
"ATX","PHEV",10
"ATX","HYBRID",10
"ATX","H2V",10
"ATX","EV",10
"ATX","ICE_PET_F",5
"ATX","ICE_DSL_F",5
"ATX","PHEV_F",5
"ATX","HYBRID_F",5
"ATX","H2V_F",5
"ATX","EV_F",5
"ATX","ICE_PET_PUB",12
"ATX","ICE_DSL_PUB",12
"ATX","CNG_PUB",12
"ATX","EV_PUB",12
"ATX","PHEV_PUB",12
"ATX","HYBRID_PUB",12
"ATX","BIO_DSL_PUB",12
"ATX","ELCTROL",30
"ATX","GASREF",30
"ATX","BIOGAS",30
"ATX","COALGAS",30
