"REGION","YEAR","Val"
"ATX","2015",1.18
"ATX","2016",1.18
"ATX","2017",1.18
"ATX","2018",1.18
"ATX","2019",1.18
"ATX","2020",1.18
"ATX","2021",1.18
"ATX","2022",1.18
"ATX","2023",1.18
"ATX","2024",1.18
"ATX","2025",1.18
"ATX","2026",1.18
"ATX","2027",1.18
"ATX","2028",1.18
"ATX","2029",1.18
"ATX","2030",1.18
"ATX","2031",1.18
"ATX","2032",1.18
"ATX","2033",1.18
"ATX","2034",1.18
"ATX","2035",1.18
"ATX","2036",1.18
"ATX","2037",1.18
"ATX","2038",1.18
"ATX","2039",1.18
"ATX","2040",1.18
"ATX","2041",1.18
"ATX","2042",1.18
"ATX","2043",1.18
"ATX","2044",1.18
"ATX","2045",1.18
"ATX","2046",1.18
"ATX","2047",1.18
"ATX","2048",1.18
"ATX","2049",1.18
"ATX","2050",1.18
