"REGION","FUEL","YEAR","Val"
"ATX","ELC","2015",1
"ATX","ELC","2016",1
"ATX","ELC","2017",1
"ATX","ELC","2018",1
"ATX","ELC","2019",1
"ATX","ELC","2020",1
"ATX","ELC","2021",1
"ATX","ELC","2022",1
"ATX","ELC","2023",1
"ATX","ELC","2024",1
"ATX","ELC","2025",1
"ATX","ELC","2026",1
"ATX","ELC","2027",1
"ATX","ELC","2028",1
"ATX","ELC","2029",1
"ATX","ELC","2030",1
"ATX","ELC","2031",1
"ATX","ELC","2032",1
"ATX","ELC","2033",1
"ATX","ELC","2034",1
"ATX","ELC","2035",1
"ATX","ELC","2036",1
"ATX","ELC","2037",1
"ATX","ELC","2038",1
"ATX","ELC","2039",1
"ATX","ELC","2040",1
"ATX","ELC","2041",1
"ATX","ELC","2042",1
"ATX","ELC","2043",1
"ATX","ELC","2044",1
"ATX","ELC","2045",1
"ATX","ELC","2046",1
"ATX","ELC","2047",1
"ATX","ELC","2048",1
"ATX","ELC","2049",1
"ATX","ELC","2050",1
