"REGION","FUEL","YEAR","Val"
"ATX","ELC","2015",82.19109387
"ATX","ELC","2016",82.00759672
"ATX","ELC","2017",83.42519755
"ATX","ELC","2018",84.85160618
"ATX","ELC","2019",87.20556128
"ATX","ELC","2020",88.81377255
"ATX","ELC","2021",90.18773768
"ATX","ELC","2022",91.62532427
"ATX","ELC","2023",93.05529826
"ATX","ELC","2024",94.49578657
"ATX","ELC","2025",95.9009422
"ATX","ELC","2026",97.39097936
"ATX","ELC","2027",99.14401699
"ATX","ELC","2028",100.9286093
"ATX","ELC","2029",102.7453243
"ATX","ELC","2030",104.5947401
"ATX","ELC","2031",106.4774454
"ATX","ELC","2032",108.3940394
"ATX","ELC","2033",110.3451321
"ATX","ELC","2034",112.3313445
"ATX","ELC","2035",114.3533087
"ATX","ELC","2036",116.4116683
"ATX","ELC","2037",118.5070783
"ATX","ELC","2038",120.6402057
"ATX","ELC","2039",122.8117294
"ATX","ELC","2040",125.0223406
"ATX","ELC","2041",127.2727427
"ATX","ELC","2042",129.5636521
"ATX","ELC","2043",131.8957978
"ATX","ELC","2044",134.2699221
"ATX","ELC","2045",136.6867807
"ATX","ELC","2046",139.1471428
"ATX","ELC","2047",141.6517914
"ATX","ELC","2048",144.2015236
"ATX","ELC","2049",146.797151
"ATX","ELC","2050",149.4394998
"ATX","VMT","2015",9500.85062
"ATX","VMT","2016",9377.52992
"ATX","VMT","2017",9225.98291
"ATX","VMT","2018",9045.09493
"ATX","VMT","2019",8834.67014
"ATX","VMT","2020",8595.65385
"ATX","VMT","2021",8330.29085
"ATX","VMT","2022",8042.17808
"ATX","VMT","2023",7736.17931
"ATX","VMT","2024",7418.19002
"ATX","VMT","2025",7094.76943
"ATX","VMT","2026",6772.68516
"ATX","VMT","2027",6458.4361
"ATX","VMT","2028",6157.82299
"ATX","VMT","2029",5875.62399
"ATX","VMT","2030",5615.40699
"ATX","VMT","2031",5379.48255
"ATX","VMT","2032",5168.9768
"ATX","VMT","2033",4983.98957
"ATX","VMT","2034",4823.79926
"ATX","VMT","2035",4687.07993
"ATX","VMT","2036",4572.1055
"ATX","VMT","2037",4476.92526
"ATX","VMT","2038",4399.50419
"ATX","VMT","2039",4337.8275
"ATX","VMT","2040",4289.97289
"ATX","VMT","2041",4254.15614
"ATX","VMT","2042",4228.75569
"ATX","VMT","2043",4212.32199
"ATX","VMT","2044",4203.57607
"ATX","VMT","2045",4201.40131
"ATX","VMT","2046",4204.83107
"ATX","VMT","2047",4213.03432
"ATX","VMT","2048",4225.30064
"ATX","VMT","2049",4241.02557
"ATX","VMT","2050",4259.69675
"ATX","FMT","2015",2281.914354
"ATX","FMT","2016",2694.567956
"ATX","FMT","2017",3164.969066
"ATX","FMT","2018",3695.357126
"ATX","FMT","2019",4286.13397
"ATX","FMT","2020",4935.419248
"ATX","FMT","2021",5638.733728
"ATX","FMT","2022",6388.893926
"ATX","FMT","2023",7176.182816
"ATX","FMT","2024",7988.820018
"ATX","FMT","2025",8813.697762
"ATX","FMT","2026",9637.291532
"ATX","FMT","2027",10446.614428
"ATX","FMT","2028",11230.075832
"ATX","FMT","2029",11978.130474
"ATX","FMT","2030",12683.653624
"ATX","FMT","2031",13342.035344
"ATX","FMT","2032",13951.03466
"ATX","FMT","2033",14510.46322
"ATX","FMT","2034",15021.775696
"ATX","FMT","2035",15487.635458
"ATX","FMT","2036",15911.50633
"ATX","FMT","2037",16297.301406
"ATX","FMT","2038",16649.102522
"ATX","FMT","2039",16970.951178
"ATX","FMT","2040",17266.70392
"ATX","FMT","2041",17539.941294
"ATX","FMT","2042",17793.918562
"ATX","FMT","2043",18031.547122
"ATX","FMT","2044",18255.39725
"ATX","FMT","2045",18467.714654
"ATX","FMT","2046",18670.445174
"ATX","FMT","2047",18865.263518
"ATX","FMT","2048",19053.60326
"ATX","FMT","2049",19236.68619
"ATX","FMT","2050",19415.54998
"ATX","PM","2015",183.570715
"ATX","PM","2016",185.0025666
"ATX","PM","2017",186.4455866
"ATX","PM","2018",187.8998622
"ATX","PM","2019",189.3654811
"ATX","PM","2020",190.8425318
"ATX","PM","2021",192.3311036
"ATX","PM","2022",193.8312862
"ATX","PM","2023",195.3431702
"ATX","PM","2024",196.866847
"ATX","PM","2025",198.4024084
"ATX","PM","2026",199.9499472
"ATX","PM","2027",201.5095567
"ATX","PM","2028",203.0813313
"ATX","PM","2029",204.6653657
"ATX","PM","2030",206.2617555
"ATX","PM","2031",207.8705972
"ATX","PM","2032",209.4919879
"ATX","PM","2033",211.1260254
"ATX","PM","2034",212.7728084
"ATX","PM","2035",214.4324363
"ATX","PM","2036",216.1050093
"ATX","PM","2037",217.7906284
"ATX","PM","2038",219.4893953
"ATX","PM","2039",221.2014125
"ATX","PM","2040",222.9267836
"ATX","PM","2041",224.6656125
"ATX","PM","2042",226.4180043
"ATX","PM","2043",228.1840647
"ATX","PM","2044",229.9639004
"ATX","PM","2045",231.7576188
"ATX","PM","2046",233.5653282
"ATX","PM","2047",235.3871378
"ATX","PM","2048",237.2231575
"ATX","PM","2049",239.0734981
"ATX","PM","2050",240.9382714
