"TECHNOLOGY","Val"
"COALPP",0.1
"CCPP",0.1
"CTPP",0.1
"NUCPP",0.1
"HYDROPP",0.1
"WINDPP",0.1
"SOLPP",0.1
"BIOPP",0.1
"CCCCSPP",0.1
"IGCCCCSPP",0.1
"H2FUELCELL",0.1
"BATTERY",0.1
"EV_CHARGE",0.1
"V2G",0.1
"EV_DISCHARGE",99999999999
"EV_CHARGE_F",0.1
"V2G_F",0.1
"EV_DISCHARGE_F",99999999999
"BUYCOAL",99999999999
"BUYURN",99999999999
"BUYBIO",99999999999
"BUYGAS",99999999999
"BUYPET",99999999999
"BUYDSL",99999999999
"BUYBIO_DSL",99999999999
"SOLPOT",99999999999
"WINDPOT",99999999999
"HYDROPOT",99999999999
"ICE_PET",1
"ICE_DSL",1
"PHEV",1
"HYBRID",1
"H2V",1
"EV",1
"ICE_PET_F",1
"ICE_DSL_F",1
"PHEV_F",1
"HYBRID_F",1
"H2V_F",1
"EV_F",1
"ICE_PET_PUB",0.05
"ICE_DSL_PUB",0.05
"CNG_PUB",0.05
"EV_PUB",0.05
"PHEV_PUB",0.05
"HYBRID_PUB",0.05
"BIO_DSL_PUB",0.05
"ELCTROL",18.59675
"GASREF",18.59675
"BIOGAS",18.59675
"COALGAS",18.59675
