"REGION","TECHNOLOGY","Val"
"ATX","COALPP",1
"ATX","CCPP",1
"ATX","CTPP",1
"ATX","NUCPP",1
"ATX","HYDROPP",1
"ATX","WINDPP",1
"ATX","SOLPP",1
"ATX","BIOPP",1
"ATX","CCCCSPP",1
"ATX","IGCCCCSPP",1
"ATX","H2FUELCELL",1
"ATX","BATTERY",1
"ATX","EV_CHARGE",1
"ATX","V2G",1
"ATX","EV_DISCHARGE",1
"ATX","EV_CHARGE_F",1
"ATX","V2G_F",1
"ATX","EV_DISCHARGE_F",1
"ATX","SOLPOT",1
"ATX","WINDPOT",1
"ATX","HYDROPOT",1
"ATX","ICE_PET",1
"ATX","ICE_DSL",1
"ATX","PHEV",1
"ATX","HYBRID",1
"ATX","H2V",1
"ATX","EV",1
"ATX","ICE_PET_F",1
"ATX","ICE_DSL_F",1
"ATX","PHEV_F",1
"ATX","HYBRID_F",1
"ATX","H2V_F",1
"ATX","EV_F",1
"ATX","ICE_PET_PUB",1
"ATX","ICE_DSL_PUB",1
"ATX","CNG_PUB",1
"ATX","EV_PUB",1
"ATX","PHEV_PUB",1
"ATX","HYBRID_PUB",1
"ATX","BIO_DSL_PUB",1
"ATX","ELCTROL",1
"ATX","GASREF",1
"ATX","BIOGAS",1
"ATX","COALGAS",1
