"REGION","TECHNOLOGY","MODE_OF_OPERATION","YEAR","Val"
"ATX","COALPP","1","2015",1.3889
"ATX","COALPP","1","2016",1.3889
"ATX","COALPP","1","2017",1.3889
"ATX","COALPP","1","2018",1.3889
"ATX","COALPP","1","2019",1.3889
"ATX","COALPP","1","2020",1.3889
"ATX","COALPP","1","2021",1.3889
"ATX","COALPP","1","2022",1.3889
"ATX","COALPP","1","2023",1.3889
"ATX","COALPP","1","2024",1.3889
"ATX","COALPP","1","2025",1.3889
"ATX","COALPP","1","2026",1.3889
"ATX","COALPP","1","2027",1.3889
"ATX","COALPP","1","2028",1.3889
"ATX","COALPP","1","2029",1.3889
"ATX","COALPP","1","2030",1.3889
"ATX","COALPP","1","2031",1.3889
"ATX","COALPP","1","2032",1.3889
"ATX","COALPP","1","2033",1.3889
"ATX","COALPP","1","2034",1.3889
"ATX","COALPP","1","2035",1.3889
"ATX","COALPP","1","2036",1.3889
"ATX","COALPP","1","2037",1.3889
"ATX","COALPP","1","2038",1.3889
"ATX","COALPP","1","2039",1.3889
"ATX","COALPP","1","2040",1.3889
"ATX","COALPP","1","2041",1.3889
"ATX","COALPP","1","2042",1.3889
"ATX","COALPP","1","2043",1.3889
"ATX","COALPP","1","2044",1.3889
"ATX","COALPP","1","2045",1.3889
"ATX","COALPP","1","2046",1.3889
"ATX","COALPP","1","2047",1.3889
"ATX","COALPP","1","2048",1.3889
"ATX","COALPP","1","2049",1.3889
"ATX","COALPP","1","2050",1.3889
"ATX","COALPP","2","2015",1E-6
"ATX","COALPP","2","2016",1E-6
"ATX","COALPP","2","2017",1E-6
"ATX","COALPP","2","2018",1E-6
"ATX","COALPP","2","2019",1E-6
"ATX","COALPP","2","2020",1E-6
"ATX","COALPP","2","2021",1E-6
"ATX","COALPP","2","2022",1E-6
"ATX","COALPP","2","2023",1E-6
"ATX","COALPP","2","2024",1E-6
"ATX","COALPP","2","2025",1E-6
"ATX","COALPP","2","2026",1E-6
"ATX","COALPP","2","2027",1E-6
"ATX","COALPP","2","2028",1E-6
"ATX","COALPP","2","2029",1E-6
"ATX","COALPP","2","2030",1E-6
