symbol,kind,records
AE,Par,1
AllTechButPrivTrans,Set,48
AnnualEmissionLimit,Par,36
AutoExtraCost,Par,36
AvailabilityFactor,Par,1836
AvgSpeed,Par,1
CapacityFactor,Par,131004
CapacityToActivityUnit,Par,51
CapitalCost,Par,1332
CapitalCostStorage,Par,36
CarEI,Par,1
DM,Par,1
DR_TYPE,Set,3
DaysInSeason,Par,72
DemandResponseDiscountRate,Par,1
DemandResponseMaxLevel,Par,7776
DemandResponseVarCost,Par,108
DiscountRate,Par,51
DiscountRateStorage,Par,3
EMISSION,Set,1
EVEI,Par,1
EmissionActivityRatio,Par,864
FUEL,Set,15
FixedCost,Par,1260
Fleet,Set,6
FleetSize,Par,36
FleetSizeFleet,Par,36
HighV2G,Set,27
Hour1,Set,3
Hour10,Set,3
Hour11,Set,3
Hour12,Set,3
Hour13,Set,3
Hour14,Set,3
Hour15,Set,3
Hour16,Set,3
Hour17,Set,3
Hour18,Set,3
Hour19,Set,3
Hour2,Set,3
Hour20,Set,3
Hour21,Set,3
Hour22,Set,3
Hour23,Set,3
Hour24,Set,3
Hour3,Set,3
Hour4,Set,3
Hour5,Set,3
Hour6,Set,3
Hour7,Set,3
Hour8,Set,3
Hour9,Set,3
InputActivityRatio,Par,1584
LowV2G,Set,45
MODE_OF_OPERATION,Set,2
MaxCapacityGrowthRate,Par,51
MaxCapacityGrowthRateStorage,Par,3
ModelPeriodEmissionLimit,Par,1
NICPP,Set,11
NICPPlower,Par,31
NoNewCap2015,Set,41
OperationalLife,Par,51
OperationalStorageLife,Par,3
OutputActivityRatio,Par,1836
PP,Set,11
PrivTrans,Set,6
PubTrans,Set,7
REGION,Set,1
RETagFuel,Par,36
RETagTechnology,Par,144
ReserveMargin,Par,36
ReserveMarginTagFuel,Par,36
ReserveMarginTagTechnology,Par,468
ResidualCapacity,Par,328
ResidualStorageCapacity,Par,10
SEASON,Set,3
SPRFALL,Set,24
STORAGE,Set,3
SUMM,Set,24
SpecifiedAnnualDemand,Par,144
SpecifiedDemandProfile,Par,10044
StartUpValue,Par,51
StartUpValueStorage,Par,3
StartYear,Par,1
TECHNOLOGY,Set,51
TIMESLICE,Set,72
TagFuelWithDemandResponseCapability,Par,3
TechWithCapacityNeededToMeetPeakTS,Par,44
TechnologyFromStorage,Par,5
TechnologyToStorage,Par,3
TimeSliceInSeason,Par,72
TotalAnnualMaxCapacity,Par,1836
TotalAnnualMaxCapacityInvestment,Par,1836
TotalTechnologyAnnualActivityUpperLimit,Par,1836
TotalTechnologyModelPeriodActivityUpperLimit,Par,51
Trans,Set,19
TransportFuel,Set,3
VariableCost,Par,3672
WNT,Set,24
YEAR,Set,36
YearSplit,Par,2592
YearVal,Par,36
