scenario,quantity,region,technology,item,year,value
1,TotalAnnualCapacity,ATX,COALPP,,2015,0.73
1,TotalAnnualCapacity,ATX,COALPP,,2016,0.71
1,TotalAnnualCapacity,ATX,COALPP,,2017,0.69
1,TotalAnnualCapacity,ATX,COALPP,,2018,0.66
1,TotalAnnualCapacity,ATX,COALPP,,2019,0.64
1,TotalAnnualCapacity,ATX,COALPP,,2020,0.61
1,TotalAnnualCapacity,ATX,COALPP,,2021,0.59
1,TotalAnnualCapacity,ATX,COALPP,,2022,0.56
1,TotalAnnualCapacity,ATX,COALPP,,2023,0.54
1,TotalAnnualCapacity,ATX,COALPP,,2024,0.51
1,TotalAnnualCapacity,ATX,COALPP,,2025,0.49
1,TotalAnnualCapacity,ATX,COALPP,,2026,0.47
1,TotalAnnualCapacity,ATX,COALPP,,2027,0.44
1,TotalAnnualCapacity,ATX,COALPP,,2028,0.42
1,TotalAnnualCapacity,ATX,COALPP,,2029,0.39
1,TotalAnnualCapacity,ATX,COALPP,,2030,0.37
1,TotalAnnualCapacity,ATX,COALPP,,2031,0.34
1,TotalAnnualCapacity,ATX,COALPP,,2032,0.32
1,TotalAnnualCapacity,ATX,COALPP,,2033,0.29
1,TotalAnnualCapacity,ATX,COALPP,,2034,0.27
1,TotalAnnualCapacity,ATX,COALPP,,2035,0.24
1,TotalAnnualCapacity,ATX,COALPP,,2036,0.22
1,TotalAnnualCapacity,ATX,COALPP,,2037,0.2
1,TotalAnnualCapacity,ATX,COALPP,,2038,0.17
1,TotalAnnualCapacity,ATX,COALPP,,2039,0.15
1,TotalAnnualCapacity,ATX,COALPP,,2040,0.12
1,TotalAnnualCapacity,ATX,COALPP,,2041,0.1
1,TotalAnnualCapacity,ATX,COALPP,,2042,0.07
1,TotalAnnualCapacity,ATX,COALPP,,2043,0.05
1,TotalAnnualCapacity,ATX,COALPP,,2044,0.02
1,TotalAnnualCapacity,ATX,COALPP,,2045,0.0
1,TotalAnnualCapacity,ATX,COALPP,,2046,0.0
1,TotalAnnualCapacity,ATX,COALPP,,2047,0.0
1,TotalAnnualCapacity,ATX,COALPP,,2048,0.0
1,TotalAnnualCapacity,ATX,COALPP,,2049,0.0
1,TotalAnnualCapacity,ATX,COALPP,,2050,0.0
1,TotalAnnualCapacity,ATX,CCPP,,2015,0.7
1,TotalAnnualCapacity,ATX,CCPP,,2016,0.84
1,TotalAnnualCapacity,ATX,CCPP,,2017,1.0
1,TotalAnnualCapacity,ATX,CCPP,,2018,1.18
1,TotalAnnualCapacity,ATX,CCPP,,2019,1.37
1,TotalAnnualCapacity,ATX,CCPP,,2020,1.59
1,TotalAnnualCapacity,ATX,CCPP,,2021,1.82
1,TotalAnnualCapacity,ATX,CCPP,,2022,2.08
1,TotalAnnualCapacity,ATX,CCPP,,2023,2.31
1,TotalAnnualCapacity,ATX,CCPP,,2024,2.5
1,TotalAnnualCapacity,ATX,CCPP,,2025,2.68
