scenario,quantity,region,technology,year,season,timeslice,value
1,Electricity Production,ATX,COALPP,2020,WINTER,W1,0.2
1,Electricity Production,ATX,COALPP,2020,WINTER,W2,0.2
1,Electricity Production,ATX,COALPP,2020,WINTER,W3,0.2
1,Electricity Production,ATX,COALPP,2020,WINTER,W4,0.2
1,Electricity Production,ATX,COALPP,2020,WINTER,W5,0.2
1,Electricity Production,ATX,COALPP,2020,WINTER,W6,0.2
1,Electricity Production,ATX,COALPP,2020,WINTER,W7,0.2
1,Electricity Production,ATX,COALPP,2020,WINTER,W8,0.2
1,Electricity Production,ATX,COALPP,2020,WINTER,W9,0.2
1,Electricity Production,ATX,COALPP,2020,WINTER,W10,0.2
1,Electricity Production,ATX,COALPP,2020,WINTER,W11,0.2
1,Electricity Production,ATX,COALPP,2020,WINTER,W12,0.2
1,Electricity Production,ATX,COALPP,2020,WINTER,W13,0.2
1,Electricity Production,ATX,COALPP,2020,WINTER,W14,0.2
1,Electricity Production,ATX,COALPP,2020,WINTER,W15,0.2
1,Electricity Production,ATX,COALPP,2020,WINTER,W16,0.2
1,Electricity Production,ATX,COALPP,2020,WINTER,W17,0.2
1,Electricity Production,ATX,COALPP,2020,WINTER,W18,0.2
1,Electricity Production,ATX,COALPP,2020,WINTER,W19,0.2
1,Electricity Production,ATX,COALPP,2020,WINTER,W20,0.2
1,Electricity Production,ATX,COALPP,2020,WINTER,W21,0.2
1,Electricity Production,ATX,COALPP,2020,WINTER,W22,0.2
1,Electricity Production,ATX,COALPP,2020,WINTER,W23,0.2
1,Electricity Production,ATX,COALPP,2020,WINTER,W24,0.2
1,Electricity Production,ATX,CCPP,2020,WINTER,W1,0.35
1,Electricity Production,ATX,CCPP,2020,WINTER,W2,0.31
1,Electricity Production,ATX,CCPP,2020,WINTER,W3,0.29
1,Electricity Production,ATX,CCPP,2020,WINTER,W4,0.28
1,Electricity Production,ATX,CCPP,2020,WINTER,W5,0.31
1,Electricity Production,ATX,CCPP,2020,WINTER,W6,0.39
1,Electricity Production,ATX,CCPP,2020,WINTER,W7,0.51
1,Electricity Production,ATX,CCPP,2020,WINTER,W8,0.51
1,Electricity Production,ATX,CCPP,2020,WINTER,W9,0.51
1,Electricity Production,ATX,CCPP,2020,WINTER,W10,0.51
1,Electricity Production,ATX,CCPP,2020,WINTER,W11,0.51
1,Electricity Production,ATX,CCPP,2020,WINTER,W12,0.51
1,Electricity Production,ATX,CCPP,2020,WINTER,W13,0.44
